node_id,entity
528,756.13
529,240.0
530,356.3
531,755.5
532,258.0
533,441.6
534,790.6
535,239.0
536,714.33
537,14.8
538,240.9
539,737.3
540,443.1
541,368.5
542,368.1
543,120.1
544,523.3
545,360.11
546,743.49
547,754.5
548,351.0
549,611.1
550,206.0
551,176.2
552,275.3
553,150.2
554,153.9
555,252.1
556,270.8
557,350.1
558,480.0
559,351.8
560,741.0
561,172.5
562,695.9
563,530.85
564,100.0
565,742.3
566,995.1
567,728.1
568,100.9
569,170.9
570,382.9
571,190.6
572,158.8
573,305.3
574,726.91
575,988.8
576,237.7
577,759.9
578,375.01
579,235.2
580,493.9
581,300.3
582,23.9
583,517.3
584,398.0
585,753.14
586,277.7
587,271.8
588,731.0
589,292.1
590,333.5
591,755.1
592,729.82
593,371.56
594,366.1
595,447.1
596,362.02
597,362.55
598,780.52
599,791.3
600,519.99
601,334.1
602,758.0
603,314.01
604,691.8
605,728.11
606,117.5
607,333.84
608,279.11
609,752.7
610,272.3
611,300.01
612,84.1
613,572.8
614,176.3
615,396.3
616,256.4
617,362.7
618,154.1
619,285.8
620,239.2
621,294.0
622,371.51
623,361.9
624,558.9
625,279.1
626,172.2
627,695.15
628,441.0
629,98.0
630,743.45
631,287.2
632,756.83
633,477.0
634,272.2
635,368.6
636,255.0
637,694.6
638,186.0
639,202.1
640,244.9
641,745.4
642,87.9
643,191.0
644,202.2
645,429.0
646,376.0
647,505.0
648,378.71
649,214.9
650,437.1
651,239.6
652,307.4
653,323.9
654,974.7
655,480.3
656,756.89
657,704.09
658,385.1
659,278.4
660,295.9
661,583.9
662,446.1
663,700.0
664,282.1
665,216.4
666,237.4
667,352.1
668,478.2
669,245.2
670,270.2
671,277.31
672,307.3
673,277.86
674,743.8
675,110.5
676,520.2
677,389.1
678,520.4
679,271.2
680,709.0
681,77.1
682,728.3
683,272.0
684,372.81
685,304.6
686,746.2
687,757.39
688,757.8
689,275.2
690,448.0
691,493.1
692,413.1
693,141.6
694,286.6
695,271.1
696,284.09
697,101.0
698,556.9
699,275.8
700,395.1
701,320.0
702,360.13
703,359.99
704,380.4
705,758.6
706,617.1
707,156.0
708,201.9
709,435.9
710,429.9
711,515.0
712,84.6
713,495.2
714,756.6
715,414.0
716,745.6
717,258.02
718,581.0
719,272.5
720,362.1
721,278.01
722,707.0
723,586.0
724,374.04
725,143.9
726,531.0
727,260.0
728,270.0
729,362.9
730,377.3
731,377.75
732,750.5
733,279.0
734,279.01
735,756.51
736,11.9
737,346.0
738,372.0
739,279.4
740,172.9
741,205.9
742,287.1
743,239.8
744,426.7
745,112.9
746,755.01
747,996.85
748,187.3
749,279.41
750,379.02
751,242.0
752,746.3
753,270.5
754,747.22
755,428.3
756,365.13
757,304.0
758,571.6
759,94.3
760,295.7
761,331.11
762,614.0
763,156.9
764,478.3
765,790.92
766,162.0
767,191.6
768,421.9
769,301.7
770,571.0
771,304.3
772,236.2
773,751.3
774,694.4
775,277.2
776,373.34
777,756.19
778,782.0
779,371.5
780,302.9
781,142.0
782,753.0
783,692.79
784,50.9
785,112.0
786,207.2
787,743.41
788,210.7
789,333.6
790,701.8
791,425.11
792,781.3
793,356.1
794,200.7
795,287.9
796,593.4
797,176.4
798,788.3
799,796.4
800,331.4
801,146.0
802,564.0
803,295.8
804,695.4
805,11.0
806,753.15
807,704.1
808,746.86
809,745.2
810,627.2
811,758.1
812,246.9
813,378.35
814,378.3
815,118.99
816,356.9
817,512.8
818,300.12
819,333.99
820,708.9
821,1.0
822,491.9
823,389.12
824,159.0
825,255.2
826,215.9
827,269.8
828,377.49
829,374.21
830,2.3
831,54.0
832,624.0
833,376.9
834,270.3
835,349.89
836,259.5
837,624.8
838,84.01
839,286.0
840,172.4
841,771.3
842,365.11
843,362.11
844,253.5
845,120.9
846,378.81
847,282.43
848,728.2
849,190.8
850,79.99
851,757.1
852,755.67
853,141.9
854,482.9
855,616.99
856,12.0
857,750.26
858,322.2
859,288.5
860,368.54
861,366.42
862,285.0
863,701.9
864,791.9
865,755.53
866,164.9
867,374.3
868,331.19
869,280.0
870,374.46
871,357.81
872,528.8
873,740.0
874,523.8
875,146.7
876,371.57
877,362.76
878,251.1
879,733.42
880,45.9
881,754.44
882,362.12
883,784.69
884,147.0
885,39.9
886,334.8
887,416.0
888,743.3
889,696.2
890,299.8
891,284.9
892,239.7
893,389.9
894,710.2
895,211.4
896,718.0
897,190.4
898,216.9
899,265.1
900,238.71
901,251.4
902,255.5
903,35.0
904,788.69
905,363.55
906,30.0
907,591.0
908,529.9
909,190.5
910,743.9
911,337.9
